commence_time,first_away_odds,last_away_odds,away_line_movement,first_home_odds,last_home_odds,home_line_movement,home_score,away_score,result
2024-09-07 00:11:00,134.00,136.00,2.00,-158.00,-162.00,-4.00,8,0,HOME WIN
2023-03-30 17:05:00,154.00,154.00,0.00,-184.00,-184.00,0.00,5,0,HOME WIN
2023-04-01 20:10:00,136.00,136.00,0.00,-162.00,-162.00,0.00,9,8,HOME WIN
2023-04-01 20:10:00,146.00,146.00,0.00,-174.00,-174.00,0.00,12,2,HOME WIN
2023-04-02 18:10:00,140.00,140.00,0.00,-166.00,-166.00,0.00,3,6,AWAY WIN
2023-04-02 20:10:00,160.00,160.00,0.00,-190.00,-190.00,0.00,1,2,AWAY WIN
2023-04-05 17:35:00,130.00,130.00,0.00,-154.00,-154.00,0.00,1,4,AWAY WIN
2023-04-07 17:10:00,132.00,132.00,0.00,-156.00,-156.00,0.00,9,3,HOME WIN
2023-04-07 19:05:00,176.00,176.00,0.00,-210.00,-210.00,0.00,5,2,HOME WIN
2023-04-07 20:35:00,142.00,142.00,0.00,-168.00,-168.00,0.00,1,3,AWAY WIN
2023-04-08 23:05:00,160.00,160.00,0.00,-210.00,-210.00,0.00,1,4,AWAY WIN
2023-04-09 17:05:00,158.00,158.00,0.00,-188.00,-188.00,0.00,4,6,AWAY WIN
2023-04-09 17:40:00,136.00,136.00,0.00,-162.00,-162.00,0.00,2,7,AWAY WIN
